SerialNo.,GREScore,TOEFLScore,UniversityRating,SOP,LOR,CGPA,Research,Admit
1.00,337.00,118.00,4.00,4.50,4.50,9.65,1.00,0.92
2.00,324.00,107.00,4.00,4.00,4.50,8.87,1.00,0.76
3.00,316.00,104.00,3.00,3.00,3.50,8.00,1.00,0.72
4.00,322.00,110.00,3.00,3.50,2.50,8.67,1.00,0.80
5.00,314.00,103.00,2.00,2.00,3.00,8.21,0.00,0.65
6.00,330.00,115.00,5.00,4.50,3.00,9.34,1.00,0.90
7.00,321.00,109.00,3.00,3.00,4.00,8.20,1.00,0.75
8.00,308.00,101.00,2.00,3.00,4.00,7.90,0.00,0.68
9.00,302.00,102.00,1.00,2.00,1.50,8.00,0.00,0.50
10.00,323.00,108.00,3.00,3.50,3.00,8.60,0.00,0.45
11.00,325.00,106.00,3.00,3.50,4.00,8.40,1.00,0.52
12.00,327.00,111.00,4.00,4.00,4.50,9.00,1.00,0.84
13.00,328.00,112.00,4.00,4.00,4.50,9.10,1.00,0.78
14.00,307.00,109.00,3.00,4.00,3.00,8.00,1.00,0.62
15.00,311.00,104.00,3.00,3.50,2.00,8.20,1.00,0.61
16.00,314.00,105.00,3.00,3.50,2.50,8.30,0.00,0.54
17.00,317.00,107.00,3.00,4.00,3.00,8.70,0.00,0.66
18.00,319.00,106.00,3.00,4.00,3.00,8.00,1.00,0.65
19.00,318.00,110.00,3.00,4.00,3.00,8.80,0.00,0.63
20.00,303.00,102.00,3.00,3.50,3.00,8.50,0.00,0.62
21.00,312.00,107.00,3.00,3.00,2.00,7.90,1.00,0.64
22.00,325.00,114.00,4.00,3.00,2.00,8.40,0.00,0.70
23.00,328.00,116.00,5.00,5.00,5.00,9.50,1.00,0.94
24.00,334.00,119.00,5.00,5.00,4.50,9.70,1.00,0.95
25.00,336.00,119.00,5.00,4.00,3.50,9.80,1.00,0.97
26.00,340.00,120.00,5.00,4.50,4.50,9.60,1.00,0.94
27.00,322.00,109.00,5.00,4.50,3.50,8.80,0.00,0.76
28.00,298.00,98.00,2.00,1.50,2.50,7.50,1.00,0.44
29.00,295.00,93.00,1.00,2.00,2.00,7.20,0.00,0.46
30.00,310.00,99.00,2.00,1.50,2.00,7.30,0.00,0.54
31.00,300.00,97.00,2.00,3.00,3.00,8.10,1.00,0.65
32.00,327.00,103.00,3.00,4.00,4.00,8.30,1.00,0.74
33.00,338.00,118.00,4.00,3.00,4.50,9.40,1.00,0.91
34.00,340.00,114.00,5.00,4.00,4.00,9.60,1.00,0.90
35.00,331.00,112.00,5.00,4.00,5.00,9.80,1.00,0.94
36.00,320.00,110.00,5.00,5.00,5.00,9.20,1.00,0.88
37.00,299.00,106.00,2.00,4.00,4.00,8.40,0.00,0.64
38.00,300.00,105.00,1.00,1.00,2.00,7.80,0.00,0.58
39.00,304.00,105.00,1.00,3.00,1.50,7.50,0.00,0.52
40.00,307.00,108.00,2.00,4.00,3.50,7.70,0.00,0.48
41.00,308.00,110.00,3.00,3.50,3.00,8.00,1.00,0.46
42.00,316.00,105.00,2.00,2.50,2.50,8.20,1.00,0.49
43.00,313.00,107.00,2.00,2.50,2.00,8.50,1.00,0.53
44.00,332.00,117.00,4.00,4.50,4.00,9.10,0.00,0.87
45.00,326.00,113.00,5.00,4.50,4.00,9.40,1.00,0.91
46.00,322.00,110.00,5.00,5.00,4.00,9.10,1.00,0.88
47.00,329.00,114.00,5.00,4.00,5.00,9.30,1.00,0.86
48.00,339.00,119.00,5.00,4.50,4.00,9.70,0.00,0.89
49.00,321.00,110.00,3.00,3.50,5.00,8.85,1.00,0.82
50.00,327.00,111.00,4.00,3.00,4.00,8.40,1.00,0.78
51.00,313.00,98.00,3.00,2.50,4.50,8.30,1.00,0.76
52.00,312.00,100.00,2.00,1.50,3.50,7.90,1.00,0.56
53.00,334.00,116.00,4.00,4.00,3.00,8.00,1.00,0.78
54.00,324.00,112.00,4.00,4.00,2.50,8.10,1.00,0.72
55.00,322.00,110.00,3.00,3.00,3.50,8.00,0.00,0.70
56.00,320.00,103.00,3.00,3.00,3.00,7.70,0.00,0.64
57.00,316.00,102.00,3.00,2.00,3.00,7.40,0.00,0.64
58.00,298.00,99.00,2.00,4.00,2.00,7.60,0.00,0.46
59.00,300.00,99.00,1.00,3.00,2.00,6.80,1.00,0.36
60.00,311.00,104.00,2.00,2.00,2.00,8.30,0.00,0.42
61.00,309.00,100.00,2.00,3.00,3.00,8.10,0.00,0.48
62.00,307.00,101.00,3.00,4.00,3.00,8.20,0.00,0.47
63.00,304.00,105.00,2.00,3.00,3.00,8.20,1.00,0.54
64.00,315.00,107.00,2.00,4.00,3.00,8.50,1.00,0.56
